epoch,train_loss,val_loss
1,0.932187535260853,0.9177527230813962
2,0.8964374645078209,0.8784601491525632
3,0.843951642240485,0.809124112676043
4,0.76770309807234,0.7308433498811284
5,0.6852276102901869,0.6427219570229906
6,0.603417548353121,0.5705796053650183
7,0.5469726265431542,0.5218377315669979
8,0.5053502379893166,0.48072110130152573
9,0.46843186341379545,0.44193250761119596
10,0.43454003102173794,0.4078211188316345
11,0.40693227425047135,0.3820104183407005
12,0.3812934039522909,0.35410524836373986
13,0.3536828165741752,0.3229944462623071
14,0.3228234496624028,0.2972837905271338
15,0.2991842736641384,0.2826964231806064
16,0.2846384944577512,0.2715943004560033
17,0.27463940900987016,0.2614531295562009
18,0.26484696618206716,0.2511840987642971
19,0.2544553539368326,0.2420334665600313
20,0.24480904792211694,0.23215753031433176
21,0.2336657554661382,0.22367492427519703
22,0.22651937351619625,0.2194333565891336
23,0.22178262277789737,0.2159050514391803
24,0.21844268683983478,0.21203212590392576
25,0.21604763506751856,0.20977462869171704
26,0.2185743830978734,0.21258854209829908
27,0.21202277608676143,0.2071713586466028
28,0.21031011992242843,0.20517869444068418
29,0.20882171818675385,0.20327571745312542
30,0.20764084330821747,0.202825155280052
31,0.2069126018738583,0.2033066928660104
32,0.20560783908214394,0.2010099201574238
33,0.2040372379720893,0.19851100362768961
34,0.20296817550806487,0.1977557158524837
35,0.20211393046842832,0.19690745891234196
36,0.20159377941959783,0.19686076168073427
37,0.2004671174205959,0.19494518487278475
38,0.20006946445329785,0.19469116546145274
39,0.19897224032906155,0.1944879687160527
40,0.1981778622560152,0.1932184924499704
41,0.19798164393590845,0.19298291657495936
42,0.19737600611876568,0.1923083745011496
43,0.1964409867263222,0.19131238703880835
44,0.1954209040040555,0.19124174500824115
45,0.19509103372522568,0.19157502629341336
46,0.19487386669119655,0.19182375374190305
47,0.1944405197824439,0.18985006472933183
48,0.19343852880890364,0.188858318356199
49,0.19300285588685653,0.18821353499495655
50,0.19267019813611796,0.18824971706495372
